"Transfer ID","TitleID","Title","Transfer Type","Relevant Task","Donor Surface","Surface Type","Donor Surface Contamination","Surface Loading Cat","SurfLoadBIo","SurfLoadSolLiq","Contamination  Units","Time Since Application","TimeSinceAppCat","TimeSinceAppBIO","TimeSinceAppLiq","Receiver","Contact Surface Area","Applied Contact Pressure","Type of Contact","Duration of Contact","Number of Contacts","Number of contacts Cat","Moistness of hand","MoistCat","Efficiency type","Substance ID","Number of Observations","Transfer Efficiency","Range of Efficiencies","Standard Deviation","Transfer Efficiency Source","Notes"
185,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.0306,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Wet","Wet",1,32,NA,114.8,NA,NA,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
186,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Vinyl linoleum","Smooth",0.0305,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,32,NA,55.4,NA,5.2,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
187,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Vinyl linoleum","Smooth",0.0327,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,32,NA,48.5,NA,6.8,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
188,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Carpet","Carpet",0.0389,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,32,NA,8.7,NA,0,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
189,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Carpet","Carpet",0.0364,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,32,NA,3.4,NA,0.7,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
190,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Carpet","Carpet",0.0338,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,32,NA,19,NA,0.2,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
191,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Carpet","Carpet",0.0333,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,32,NA,16.9,NA,1.1,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
192,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.0148,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,33,NA,80.5,NA,13,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
193,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.018,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,2,NA,1,"1","Dry","Dry",1,33,NA,130.8,NA,40,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
194,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.128,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,34,NA,102.6,NA,6,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
195,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.12,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,34,NA,78.8,NA,3.4,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
196,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.239,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,35,NA,95.8,NA,2.3,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
197,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.238,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,35,NA,90.9,NA,6.5,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
198,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.231,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,36,NA,97,NA,0.9,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
199,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.278,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,36,NA,113.9,NA,16.5,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
200,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.0305,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Dry","Dry",1,32,NA,58.2,NA,5.9,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
201,11,"Experimental methodologies and preliminary transfer factor data for estimation of dermal exposures to particles",2,"None","Stainless Steel","Smooth",0.0327,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",NA,1.3,1,NA,1,"1","Damp","Wet",1,32,NA,97,NA,NA,1,"Also found that about 1/3 of the hand surface came in contact with the test surface during a press and consecutive presses decreased the particle transfer by a factor of 3 (~100 presses to reach equilibrium)"
202,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Wringing","Dishcloth","Textile",10.44,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,10,1,"1","Dry","Dry",2,37,11,0.04,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
203,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Wringing","Dishcloth","Textile",9.85,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,10,1,"1","Dry","Dry",2,38,11,0.03,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
204,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Wringing","Dishcloth","Textile",10.34,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,10,1,"1","Dry","Dry",2,39,11,0.0045,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
205,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Wringing","Sponge","Textile",9.58,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,10,1,"1","Dry","Dry",2,37,10,0.03,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
206,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Wringing","Sponge","Textile",10.44,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,10,1,"1","Dry","Dry",2,38,10,0.02,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
207,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Wringing","Sponge","Textile",11.06,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,10,1,"1","Dry","Dry",2,39,10,0.0037,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
208,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Turning Faucet","Faucet","Smooth",6.13,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,37,20,40.03,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
209,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Turning Faucet","Faucet","Smooth",5.83,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,38,20,33.47,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
210,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Turning Faucet","Faucet","Smooth",6.08,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,39,20,27.59,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
211,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Handling or Preparing Food","Carrot","Food",9.05,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,37,20,0.21,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
212,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Handling or Preparing Food","Carrot","Food",7.97,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,38,20,0.35,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
213,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Handling or Preparing Food","Carrot","Food",8.97,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,39,20,0.12,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
214,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Handling or Preparing Food","Beef Mince","Food",9.79,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,37,20,0.06,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
215,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Handling or Preparing Food","Beef Mince","Food",8.77,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,38,20,0.01,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
216,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Handling or Preparing Food","Beef Mince","Food",9.91,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,39,20,0.002,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
217,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Talking on Phone","Phone Receiver","Smooth",6.6,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,30,1,"1","Dry","Dry",2,37,20,41.81,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
218,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Talking on Phone","Phone Receiver","Smooth",4.92,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,30,1,"1","Dry","Dry",2,38,20,65.8,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
219,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Talking on Phone","Phone Receiver","Smooth",6.31,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,30,1,"1","Dry","Dry",2,39,20,38.47,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
220,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Removing laundry from washing machine","100% Cotton Laundry","Textile",9.73,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,37,10,0.13,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
221,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Removing laundry from washing machine","100% Cotton Laundry","Textile",8.73,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,38,10,0.005,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
222,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Removing laundry from washing machine","100% Cotton Laundry","Textile",9.79,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,39,10,0.003,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
223,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Removing laundry from washing machine","cotton and polyester laundry","Textile",9.39,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,37,10,0.06,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
224,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Removing laundry from washing machine","cotton and polyester laundry","Textile",8.34,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,38,10,5e-04,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
225,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",2,"Removing laundry from washing machine","cotton and polyester laundry","Textile",9.01,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Hand",NA,NA,3,NA,1,"1","Dry","Dry",2,39,10,9e-05,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
226,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",5,"None","Fingertip","Skin",6.63,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Perioral",NA,NA,1,10,1,"1","Dry","Dry",2,37,20,40.99,NA,0,1,"Surface concentration refers to average log10 total CFU/surface"
227,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",5,"None","Fingertip","Skin",5.78,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Perioral",NA,NA,1,10,1,"1","Dry","Dry",2,38,20,33.9,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
228,3,"Comparative surface-to-hand and fingertip-to-mouth transfer efficiency of gram-positive bacteria, gram-negative bacteria, and phage",5,"None","Fingertip","Skin",6.66,NA,NA,NA,"CFU/object",0,"0 - 60","0 - 60 minutes",NA,"Perioral",NA,NA,1,10,1,"1","Dry","Dry",2,39,20,33.97,NA,NA,1,"Surface concentration refers to average log10 total CFU/surface"
229,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,2,20,1,"1","Dry","Dry",1,40,3,1.7,NA,0.9,1,"Time since application not given"
230,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,1,20,1,"1","Dry","Dry",1,40,3,4.3,NA,0.4,1,"Time since application not given"
231,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,1,2,1,"1","Dry","Dry",1,40,3,0.6,NA,0.2,1,"Time since application not given"
232,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,2,2,1,"1","Dry","Dry",1,40,3,3.6,NA,4.2,1,"Time since application not given"
233,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,1,2,1,"1","Dry","Dry",1,40,3,5.3,NA,3,1,"Time since application not given"
234,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,2,2,1,"1","Dry","Dry",1,40,3,5.1,NA,4.4,1,"Time since application not given"
235,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,2,20,1,"1","Dry","Dry",1,40,3,1.9,NA,1,1,"Time since application not given"
236,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,1,20,1,"1","Dry","Dry",1,40,3,1.9,NA,0.4,1,"Time since application not given"
237,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,2,20,1,"1","Moist","Wet",1,40,3,8.3,NA,6,1,"Time since application not given"
238,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,1,20,1,"1","Moist","Wet",1,40,3,14,NA,8.1,1,"Time since application not given"
239,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,1,2,1,"1","Moist","Wet",1,40,3,3.8,NA,0.4,1,"Time since application not given"
240,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,2,2,1,"1","Moist","Wet",1,40,3,2.8,NA,1.8,1,"Time since application not given"
241,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,1,2,1,"1","Moist","Wet",1,40,3,14,NA,6.5,1,"Time since application not given"
242,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,2,2,1,"1","Moist","Wet",1,40,3,8,NA,5.9,1,"Time since application not given"
243,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,2,20,1,"1","Moist","Wet",1,40,3,2.6,NA,1.1,1,"Time since application not given"
244,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,1,20,1,"1","Moist","Wet",1,40,3,3.8,NA,3.9,1,"Time since application not given"
245,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,2,20,1,"1","Sticky","Wet",1,40,3,14,NA,8.3,1,"Time since application not given"
246,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,1,20,1,"1","Sticky","Wet",1,40,3,18,NA,9.5,1,"Time since application not given"
247,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,1,2,1,"1","Sticky","Wet",1,40,3,4,NA,1.6,1,"Time since application not given"
248,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Carpet","Carpet",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,2,2,1,"1","Sticky","Wet",1,40,3,1.6,NA,1.2,1,"Time since application not given"
249,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,1,2,1,"1","Sticky","Wet",1,40,3,49,NA,36,1,"Time since application not given"
250,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.002,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,2,2,1,"1","Sticky","Wet",1,40,3,9.6,NA,5.2,1,"Time since application not given"
251,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",150,1,2,20,1,"1","Sticky","Wet",1,40,3,8.9,NA,4.1,1,"Time since application not given"
252,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",2,"None","Laminate","Smooth",0.01,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",NA,NA,NA,NA,"Hand",40,0.1,1,20,1,"1","Sticky","Wet",1,40,3,11,NA,7.4,1,"Time since application not given"
253,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",1,"None","Thumb","Skin",5e-05,"<0.0002 mg/cm2",NA,"<0.0002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Mouth",0,NA,NA,20,1,"1",NA,NA,1,40,3,0.7,NA,6.7,1,"Time since application not given"
255,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",1,"None","Thumb","Skin",3e-04,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Mouth",NA,NA,NA,20,1,"1",NA,NA,1,40,3,-14,NA,23,1,"Authors reported that thumb sucking was difficult to standardise and the methods used to characterise removal require further development and verification"
256,2,"Characterizing residue transfer efficiencies using a fluorescent imaging technique",1,"None","Thumb","Skin",3e-04,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",NA,NA,NA,NA,"Mouth",NA,NA,NA,20,1,"1",NA,NA,1,40,3,-2.7,NA,25,1,"Authors reported that thumb sucking was difficult to standardise and the methods used to characterise removal require further development and verification"
